tconst,averagerating,numvotes,directors,writers
tt2994636,5.7,253,nm0296829,nm0296829
tt2994788,6.4,135,nm0863674,"nm0392288,nm0905108"
tt2996126,4.5,15,nm5744866,"nm5744868,nm5744867"
tt2996684,4.8,5859,nm0799693,"nm1443120,nm2067371"
tt2997144,7.3,6,nm3948467,nm3948467
tt3003260,6.3,9,nm3334375,"nm4956944,nm3334375"
tt3004000,6.9,14,"nm1381212,nm1380058","nm1380058,nm1381212"
tt3006588,4.1,219,nm4091649,nm4091649
tt3012528,2.7,170,nm1279773,nm1208837
tt3013332,3.8,18,nm3108316,nm5764316
tt3013602,6.8,7928,"nm3743617,nm1318381","nm5033444,nm3851426,nm3743617,nm6421627"
tt3016256,5.2,256,nm1128860,"nm0438651,nm1332934,nm0696605,nm1337900"
tt3021126,6.1,20,nm1090509,nm1090509
tt3021984,4.6,127,nm1231248,"nm6062383,nm1231248"
tt3022458,6.0,2905,nm0435091,"nm0421314,nm1553655"
tt3025410,7.0,428,nm0105680,"nm0520317,nm5774530"
tt3030970,1.9,263,"nm2678641,nm5556293",nm5556293
tt3032288,5.1,21,nm0415617,"nm0415617,nm0897105"
tt3032780,6.4,313,nm0994258,nm0994258
tt3041778,7.7,46,nm5791176,"nm5791175,nm5969485,nm5791176"
tt3044248,6.1,375,nm1046044,"nm4980076,nm1001051"
tt3057836,6.5,130,"nm3452130,nm3678039",nm3452130
tt3057942,7.8,13,nm0573427,nm0573427
tt3064338,7.2,35,nm3212646,"nm3212646,nm3652218,nm0995615"
tt3066658,5.4,14,nm2699357,"nm5813848,nm4853363"
tt3078744,6.9,13,nm0023929,nm1770216
tt3083962,6.0,497,nm0315916,"nm0051779,nm0315916"
tt3084294,6.5,167,nm0586281,"nm0755402,nm1158253,nm1218835"
tt3089684,8.2,20,nm4321126,"nm4321126,nm4775032"
tt3090628,3.8,27,nm1580748,nm1580748
tt3097756,6.6,36,nm0788526,nm3241043
tt3099300,5.7,72,nm3410550,"nm1989193,nm3410550,nm3081412"
tt3100938,4.5,11,nm2482017,nm2964204
tt3102146,8.7,6,nm5547191,nm5547191
tt3105418,7.1,110,nm0840443,nm0840443
tt3108402,4.7,7,nm5862752,"nm5862752,nm2935111"
tt3109410,5.2,18,nm0762805,nm0762805
tt3109842,5.2,52,nm3074729,nm3074729
tt3111680,5.3,250,nm0430485,"nm5866860,nm1575936"
tt3112572,4.3,87,nm5615480,nm5615480
tt3115906,7.0,2757,nm1087375,nm1087375
tt3118442,4.7,433,nm2204106,"nm3448127,nm2204106"
tt3120916,6.2,129,nm0734319,nm0734319
tt3120962,6.8,6,nm5361948,nm5361948
tt3121574,6.7,12,nm1090216,nm1090216
tt3121660,5.9,14,nm2789350,nm2789350
tt3124060,4.3,234,nm0745131,"nm1834345,nm0745131"
tt3125494,6.6,17,nm0157387,nm1463271
tt3127902,7.6,1201,nm4598626,"nm2288814,nm4598626"
tt3132718,6.6,100,nm0270770,"nm0270770,nm1909602"
tt3132890,4.1,843,nm4055347,nm2201408
tt3135546,6.6,302,nm0954099,"nm1189766,nm0586235,nm0954099"
tt3138010,6.1,7,"nm0542231,nm0053205","nm0053205,nm0542231"
tt3138602,4.8,208,nm6085179,"nm2190786,nm3354833"
